timestamp,task_id,agent,value,threshold,alert,audit_status,unanswered_questions,debt_contribution
2026-07-30T17:43:53Z,F0-cosca-chat,cosca-backend,0.0,10.0,false,complete,"",0.0
2026-07-30T18:07:28Z,F1-provider-layer,cosca-chat,0.0,10.0,false,complete,"",0.0
2026-07-30T18:30:22Z,F2-tool-system,cosca-chat,0.0,10.0,false,complete,"",0.0
2026-07-30T18:39:53Z,F3-agent-engine,cosca-backend,0.0,10.0,false,complete,"",0.0
2026-07-30T18:55:41Z,F3.5-4-engine-tests,cosca-testing,0.0,10.0,false,complete,"",0.0
2026-07-30T19:07:25Z,F5-cli-commands,cosca-cli,0.0,10.0,false,complete,"",0.0
2026-07-30T19:10:00Z,F4.5-memory-integration,cosca-backend,0.0,10.0,false,complete,"",0.0
2026-07-30T19:21:49Z,F6-extensibility,cosca-chat,0.0,10.0,false,complete,"",0.0
2026-07-30T19:43:06Z,F6-mcp-tests,cosca-testing,0.0,10.0,false,complete,"",0.0
2026-07-30T19:43:06Z,F6-mcp-deadlock-fix,cosca-backend,0.0,10.0,false,complete,"",0.0
2026-07-30T19:45:31Z,F6-mcp-plugin-cli,cosca-cli,0.0,10.0,false,complete,"",0.0
2026-07-30T19:48:17Z,F6-agent-skill-cli,cosca-cli,0.0,10.0,false,complete,"",0.0
2026-07-30T19:50:19Z,F6-session-cli,cosca-cli,0.0,10.0,false,complete,"",0.0
2026-07-30T19:52:19Z,F6-completion-config-cli,cosca-cli,0.0,10.0,false,complete,"",0.0
2026-07-30T19:54:00Z,F6-config-tests,cosca-testing,5.0,10.0,false,partial,"Q2",0.5
2026-07-30T20:33:38Z,F7-memorize-workflow,cosca-kernel,0.0,10.0,false,complete,"",0.0
