timestamp,task_id,agent,value,threshold,alert,cross_count,total_count,source_agents
2026-07-30T17:43:53Z,F0-cosca-chat,cosca-kernel,33.3,20.0,false,1,3,"cosca-architecture"
2026-07-30T18:07:28Z,F1-provider-layer,cosca-chat,25.0,20.0,false,1,4,"cosca-backend"
2026-07-30T18:30:22Z,F2-tool-system,cosca-chat,40.0,20.0,false,2,5,"cosca-backend,cosca-architecture"
2026-07-30T18:39:53Z,F3-agent-engine,cosca-backend,50.0,20.0,false,4,8,"cosca-chat,cosca-architecture,cosca-runtime,cosca-testing"
2026-07-30T18:55:41Z,F3.5-4-engine-tests,cosca-testing,33.3,20.0,false,2,6,"cosca-backend,cosca-chat"
2026-07-30T19:07:25Z,F5-cli-commands,cosca-cli,28.6,20.0,false,2,7,"cosca-backend,cosca-chat"
2026-07-30T19:10:00Z,F4.5-memory-integration,cosca-backend,50.0,20.0,false,2,4,"cosca-kernel,cosca-memory-chief"
2026-07-30T19:21:49Z,F6-extensibility,cosca-chat,44.4,20.0,false,4,9,"cosca-backend,cosca-architecture,cosca-plugin,cosca-cli"
2026-07-30T19:43:06Z,F6-mcp-tests,cosca-testing,40.0,20.0,false,2,5,"cosca-backend,cosca-chat"
2026-07-30T19:43:06Z,F6-mcp-deadlock-fix,cosca-backend,50.0,20.0,false,1,2,"cosca-chat"
2026-07-30T19:45:31Z,F6-mcp-plugin-cli,cosca-cli,33.3,20.0,false,1,3,"cosca-backend"
2026-07-30T19:48:17Z,F6-agent-skill-cli,cosca-cli,25.0,20.0,false,1,4,"cosca-backend"
2026-07-30T19:50:19Z,F6-session-cli,cosca-cli,33.3,20.0,false,1,3,"cosca-kernel"
2026-07-30T19:52:19Z,F6-completion-config-cli,cosca-cli,33.3,20.0,false,1,3,"cosca-backend"
2026-07-30T19:54:00Z,F6-config-tests,cosca-testing,0.0,20.0,true,0,2,""
2026-07-30T20:33:38Z,F7-memorize-workflow,cosca-kernel,36.4,20.0,false,4,11,"cosca-architecture,cosca-documentation,cosca-evolution,cosca-workflows"
